,Description?,Junior,Semi Senior,Senior+,Tech Lead
,,,,,
"Scripting (Shell, Python, Ruby, Perl, Golang, RUST, haskell, etc)",,,,,*
AWS,,,,,*
OpenStack,,,,,*
VSphere,,,,,*
Xen,,,,,
KVM,,,,,
Docker,,,,,
LXC/LXD,,,,,
Troubleshutting tools,,,,,*
"GNU/Linux, BSD(FreeBSD, OpenBSD, NetBSD)",,,,,*
"automation using tools like foreman, puppet, ansible or chef)",,,,,*
,,,,,
"Monitoring, Trending & Alerts",,,,,
"Alerting systems like Zabbix, Ganglia, Nagios, etc",,,,,*
"Monitoring systems (Nagios, Zabbix, Monit, etc)",,,,,*
,,,,,
,,,,,
,,,,,
Software Architecture,,,,,
"Define, document and communicate complex architectures (Markdown, RST, etc etc)",,,,,*
"Security & Networking (iptables, pf, modsecurity, zorp, naxsi, etc, etc)",,,,,*
"Scalability and high availability (clusterlabs.org, haproxy, varnish)",,,,,*
"IaaS (AWS, Openstack, CloudStack, vCloud, etc)",,,,,*
"PaaS (CF, OpenShift, Stratos, etc, etc)",,,,,
"Docker Platforms (CoreOS, Kubernetes, etc, etc)",,,,,
,,,,,
,,,,,
"OS, Tools, etc",,,,,
Linux Server,,,,,*
Linux Services and Networking,,,,,*
Compile from source,,,,,*